# Command: 
# structures were superimposed onto reference structure
# lag time set to 1 frames
# output dimension for PCA set to 2
# output dimension for TICA set to 2
# number of top principle components passed to time-lagged t-SNE set to 50
# output dimension for t-SNE and time-lagged t-SNE set to 2
# perplexity of t-SNE set to 10.000000
# perplexity of time-lagged t-SNE set to 10.000000
# early_exaggeration set to 12.000000
# structure_ID PCA1 PCA2 TICA1 TICA2 tSNE1 tSNE2 tltSNE1 tltSNE2
 229 -4.515570 1.032671 -0.225137 0.469428 33.742016 72.694130 32.018452 -22.240562
 230 2.018196 -0.000286 -0.061665 0.945567 34.306038 72.574226 31.957062 -21.728573
 231 -0.459105 -1.529833 -0.095035 1.337308 34.043545 72.625381 31.808050 -21.966145
 232 1.987731 -0.674873 -0.071490 1.409800 34.271030 72.573601 31.736101 -21.726246
 233 1.969978 -1.812554 -0.365742 1.373718 34.326309 72.561882 31.594570 -21.677086
 234 1.347909 1.252982 -0.064410 1.078918 34.477180 72.538315 31.818548 -21.403557
 235 0.096901 0.895807 -0.157098 0.959876 34.508057 72.543625 31.897381 -21.258612
 236 2.430605 1.463586 -0.028270 0.663615 36.237938 72.236588 32.036003 -21.161156
 237 6.579077 0.405793 0.019524 0.113631 37.636295 71.961761 32.949612 -20.154181
 238 5.211818 0.683971 -0.165793 0.246538 36.769363 72.099724 33.077110 -20.115770
 239 8.067175 -1.955236 -0.257585 0.004335 38.992813 71.814163 33.493935 -19.564745
 240 9.060360 -6.193430 -0.225171 0.382837 39.419319 71.805122 33.504826 -19.523987
 241 6.764336 -3.384269 -0.105280 0.011583 39.067356 71.826424 33.519985 -19.407993
 242 7.538231 0.101509 -0.382360 0.335478 39.041973 71.848335 33.782803 -19.409981
 243 7.667278 -1.676835 -0.214628 0.156297 38.944386 71.820038 33.829796 -19.606396
 244 9.955146 -7.551760 -0.047760 0.082083 40.067326 71.827789 34.069241 -19.428917
 245 12.692050 -8.440267 -0.294513 0.781106 40.920990 71.831062 34.756847 -19.435371
 246 8.551883 -8.903659 -0.148680 0.215741 40.928478 71.825638 34.805805 -19.414228
 247 7.945272 -4.737014 0.044277 0.128513 41.217381 71.833282 34.919407 -19.413797
 248 -7.640669 -4.597872 -0.141413 -0.457499 51.787628 -43.024864 -30.839319 50.127766
 249 -11.043474 1.520452 -0.112279 -0.507016 51.730068 -42.846443 -30.716549 50.126854
 250 -4.393610 3.634791 0.298878 -0.277915 51.587276 -42.417046 -30.220379 50.140026
 251 6.073073 5.893282 0.197419 -0.135617 37.694141 -16.744652 -29.817194 50.139965
 252 -5.705770 2.616120 0.072875 -0.310038 51.564259 -42.394680 -29.842501 50.131351
 253 5.045830 3.354433 0.408182 -0.360252 37.613731 -16.783600 -29.692781 50.136833
 254 -4.951616 12.076434 -0.028522 -0.675754 -16.415752 -35.343002 28.949181 -18.163349
 255 -10.864321 -4.125782 0.056630 -0.853112 -14.123530 -42.966503 28.831259 -17.663040
 256 5.704243 10.508789 0.202721 -0.455764 43.204990 17.000046 -46.184757 12.924350
 257 2.056098 1.683302 0.162916 -0.872093 38.651077 -37.316002 28.439970 -16.329815
 258 -8.836271 -3.478605 -0.395423 -0.975116 -14.171293 -42.968536 28.541950 -16.598619
 259 -6.992792 -3.248675 -0.285214 -0.997197 -14.071372 -42.952686 28.604734 -16.750935
 260 -2.827568 -2.420687 0.300224 -1.256316 -14.056284 -42.961300 28.730242 -17.263643
 261 3.447733 0.141760 -0.076298 -0.816695 43.177692 68.502098 30.572744 -14.869079
 262 5.076473 0.689369 -0.137796 -0.359031 43.185669 68.502579 30.572603 -14.866284
 263 0.311294 1.556249 -0.411058 -0.276411 -0.536451 -56.732834 29.295368 -13.134965
 264 2.095399 1.920878 -0.610475 -0.339730 -0.447982 -56.381363 29.117228 -12.859104
 265 -4.335649 3.070091 -0.361960 -0.704672 -0.330158 -55.816101 28.968952 -12.592548
 266 -8.239129 1.508109 -0.281828 -0.788536 -0.279361 -55.402531 28.824156 -12.355581
 267 -10.826746 2.053793 -0.434625 -0.695719 -0.230864 -55.323322 28.782040 -12.304235
 268 -12.605533 8.846271 -0.176959 -1.162493 1.630887 -54.269367 28.124363 -11.674331
 269 -12.090149 20.595951 -0.080498 -0.954682 15.342770 -47.640190 27.847967 -11.467857
 270 -11.413744 10.889319 -0.544314 -1.160513 1.691514 -54.216187 27.872072 -11.424874
 271 -11.853693 8.485796 -0.895721 -1.358385 1.868488 -50.790039 29.898788 -9.521492
 272 -4.544094 6.960933 -1.244781 -1.900543 -3.163612 -51.972416 29.977615 -9.453504
 273 -11.212570 7.431040 -1.154763 -1.785507 -1.457485 -51.180729 29.970743 -9.462176
 274 -5.178429 8.750502 -1.213848 -1.467701 -1.804960 -52.431599 29.971325 -9.459673
